,Status,ZipCode,City,Price,Days_on_market,Beds,Baths,Sqft,Date,Acres,Lot_sqft,Liv_index
84,A,98002,Auburn,475000,3.0,3.0,2.5,1500,2021-05-27,0.223,9696.0,68.0
85,S,98002,Auburn,565000,6.0,3.0,2.5,2120,2021-04-30,0.119,5173.0,68.0
86,S,98002,Auburn,580000,4.0,4.0,2.75,2117,2021-05-21,0.085,3703.0,68.0
87,S,98002,Auburn,690000,1.0,5.0,2.75,3510,2021-05-28,0.215,9360.0,68.0
88,A,98002,Auburn,649900,3.0,3.0,3.25,2280,2021-05-27,0.328,14291.0,68.0
89,S,98003,Federal Way,416000,4.0,3.0,1.5,940,2021-04-30,0.181,7884.0,63.0
90,S,98003,Federal Way,507000,6.0,3.0,1.5,1090,2021-05-21,0.335,14608.0,63.0
91,S,98003,Federal Way,550000,4.0,3.0,2.0,1300,2021-05-19,0.218,9475.0,63.0
92,A,98003,Federal Way,780000,65.0,5.0,1.75,1910,2021-03-26,2.12,92347.0,63.0
93,A,98003,Federal Way,569000,4.0,3.0,2.75,2360,2021-05-26,0.254,11058.0,63.0
94,S,98003,Federal Way,450000,0.0,3.0,2.5,1670,2021-05-27,0.138,6031.0,63.0
95,S,98003,Federal Way,455000,6.0,3.0,2.5,1740,2021-05-01,0.182,7920.0,63.0
96,S,98003,Federal Way,650000,2.0,4.0,2.5,2370,2021-05-13,0.095,4120.0,63.0
97,A,98003,Federal Way,656000,22.0,0.0,0.0,1480,2021-05-08,0.66,28749.0,63.0
98,A,98003,Federal Way,195000,6.0,0.0,0.5,1000,2021-05-24,0.023,1000.0,63.0
99,A,98003,Federal Way,1200000,47.0,2.0,1.0,1150,2021-04-13,0.947,41233.0,63.0
100,A,98033,Kirkland,2087000,23.0,5.0,3.5,3348,2021-05-07,0.093,4070.0,81.0
101,S,98033,Kirkland,1500000,198.0,5.0,3.5,4745,2021-05-24,0.19,8283.0,81.0
102,S,98033,Kirkland,1750000,6.0,5.0,3.5,3160,2021-05-03,0.215,9351.0,81.0
103,S,98033,Kirkland,2269252,0.0,5.0,4.0,4865,2021-05-20,0.302,13159.0,81.0
104,S,98033,Kirkland,2464500,2.0,5.0,3.5,3397,2021-05-27,0.172,7479.0,81.0
105,A,98033,Kirkland,3988000,53.0,4.0,4.0,4820,2021-05-13,0.248,10800.0,81.0
106,A,98033,Kirkland,4900000,2.0,4.0,4.0,7160,2021-05-28,0.933,40650.0,81.0
107,A,98033,Kirkland,6495000,219.0,4.0,3.75,4480,2021-01-05,0.469,20424.0,81.0
108,S,98033,Kirkland,2700000,15.0,4.0,4.25,3693,2021-05-17,0.092,4001.0,81.0
109,S,98033,Kirkland,3120000,4.0,4.0,4.0,4480,2021-05-03,0.598,26028.0,81.0
110,S,98003,Federal Way,285000,156.0,2.0,1.0,924,2021-04-30,0.316,13750.0,63.0
111,S,98033,Kirkland,4980000,7.0,4.0,4.25,5650,2021-05-14,0.275,12000.0,81.0
112,S,98033,Kirkland,5225000,26.0,4.0,4.0,4670,2021-05-05,0.084,3639.0,81.0
113,A,98033,Kirkland,2750000,0.0,5.0,4.0,4039,2021-05-30,0.618,26914.0,81.0
114,A,98033,Kirkland,3900000,11.0,5.0,4.25,4020,2021-05-19,0.131,5725.0,81.0
115,A,98033,Kirkland,3985000,11.0,5.0,4.0,4039,2021-05-19,0.915,39849.0,81.0
116,S,98033,Redmond,2185000,22.0,5.0,4.5,3099,2021-05-26,0.148,6463.0,85.0
117,S,98033,Kirkland,2360000,5.0,5.0,4.25,4800,2021-05-12,0.405,17621.0,81.0
118,S,98033,Kirkland,2420000,6.0,5.0,4.25,3414,2021-05-30,0.189,8225.0,81.0
119,S,98033,Kirkland,2491566,69.0,5.0,4.5,4428,2021-05-13,0.489,21316.0,81.0
120,S,98033,Kirkland,2920000,4.0,5.0,4.5,4216,2021-05-27,0.202,8793.0,81.0
121,S,98003,Federal Way,399999,11.0,2.0,1.0,1280,2021-05-24,0.195,8499.0,63.0
122,S,98033,Kirkland,2950000,2.0,5.0,4.5,4719,2021-05-04,0.248,10800.0,81.0
123,S,98033,Kirkland,3200000,2.0,5.0,4.25,4820,2021-04-30,0.275,12000.0,81.0
124,S,98033,Kirkland,3325000,0.0,5.0,4.0,4950,2021-04-30,0.206,8975.0,81.0
125,S,98033,Kirkland,6000000,14.0,5.0,4.0,5123,2021-05-28,0.386,16834.0,81.0
126,A,98033,Kirkland,3880000,39.0,6.0,4.25,5961,2021-04-21,0.341,14836.0,81.0
127,A,98033,Kirkland,3900000,85.0,4.0,5.0,5260,2021-05-12,0.309,13461.0,81.0
128,A,98033,Kirkland,4898000,10.0,5.0,5.5,5260,2021-05-20,0.35,15246.0,81.0
129,A,98033,Kirkland,1299950,25.0,2.0,1.5,1100,2021-05-06,0.337,14696.0,81.0
130,S,98033,Kirkland,900000,3.0,3.0,1.75,1790,2021-05-14,0.23,10000.0,81.0
131,A,98034,Kirkland,925000,2.0,4.0,1.75,1340,2021-05-28,0.164,7135.0,81.0
132,A,98003,Federal Way,457000,2.0,3.0,1.75,1380,2021-05-30,0.22,9600.0,63.0
133,S,98034,Kirkland,1010000,6.0,3.0,2.75,2100,2021-05-26,0.266,11575.0,81.0
134,S,98034,Kirkland,1530000,6.0,4.0,2.5,3260,2021-05-13,0.166,7213.0,81.0
135,S,98034,Kirkland,937500,10.0,5.0,2.75,2080,2021-05-03,0.195,8493.0,81.0
136,A,98034,Kirkland,2980000,2.0,5.0,3.5,4090,2021-05-28,6.68,290980.0,81.0
137,S,98034,Kirkland,5400000,25.0,4.0,3.75,4630,2021-05-21,0.22,9583.0,81.0
138,A,98034,Kirkland,4988000,10.0,4.0,5.5,8905,2021-05-20,0.285,12395.0,81.0
139,S,98034,Kirkland,500000,5.0,2.0,1.0,970,2021-05-18,0.091,3965.0,81.0
140,S,98034,Kirkland,770000,5.0,3.0,1.0,1000,2021-05-20,0.177,7700.0,81.0
141,S,98034,Kirkland,815000,6.0,3.0,1.0,910,2021-05-11,0.222,9675.0,81.0
142,S,98034,Kirkland,629000,4.0,2.0,2.0,1140,2021-05-18,0.075,3255.0,81.0
143,A,98003,Federal Way,500000,11.0,3.0,1.75,1510,2021-05-19,0.19,8276.0,63.0
144,A,98034,Kirkland,765000,4.0,3.0,1.75,1630,2021-05-26,0.166,7238.0,81.0
145,S,98034,Kirkland,713100,4.0,3.0,1.75,1660,2021-05-17,0.177,7700.0,81.0
146,S,98034,Kirkland,751000,11.0,3.0,1.75,1220,2021-05-03,0.228,9916.0,81.0
147,S,98034,Kirkland,789000,5.0,3.0,1.5,1710,2021-05-03,0.218,9508.0,81.0
148,S,98034,Kirkland,820000,3.0,3.0,1.75,1280,2021-05-12,0.182,7932.0,81.0
149,S,98034,Kirkland,830000,5.0,3.0,1.75,1270,2021-05-04,0.224,9750.0,81.0
150,S,98034,Kirkland,839000,7.0,3.0,1.75,1320,2021-05-21,0.222,9660.0,81.0
151,S,98034,Kirkland,840000,6.0,3.0,2.0,1170,2021-05-28,0.168,7325.0,81.0
152,S,98034,Kirkland,901000,6.0,3.0,1.75,1170,2021-05-03,0.227,9900.0,81.0
153,S,98034,Kirkland,970800,5.0,3.0,1.75,1636,2021-05-06,0.379,16488.0,81.0
154,S,98003,Federal Way,222000,5.0,3.0,2.0,1344,2021-05-12,0.207,9020.0,63.0
155,S,98034,Kirkland,1035000,5.0,3.0,1.75,1660,2021-05-12,0.172,7500.0,81.0
156,S,98034,Kirkland,1100000,4.0,3.0,1.75,2260,2021-05-20,0.195,8509.0,81.0
157,A,98034,Kirkland,859900,3.0,4.0,1.75,2140,2021-05-28,0.244,10644.0,81.0
158,S,98034,Kirkland,750000,4.0,4.0,1.5,1420,2021-05-09,0.151,6580.0,81.0
159,S,98034,Kirkland,775000,5.0,4.0,1.75,1700,2021-05-28,0.183,7975.0,81.0
160,S,98034,Kirkland,975000,4.0,4.0,2.0,1820,2021-05-07,0.227,9872.0,81.0
161,S,98034,Kirkland,1025000,2.0,4.0,1.75,1900,2021-05-24,0.235,10226.0,81.0
162,S,98034,Kirkland,1100000,2.0,4.0,2.0,1860,2021-04-30,0.186,8100.0,81.0
163,S,98034,Kirkland,1015000,6.0,5.0,1.75,1940,2021-05-21,0.186,8120.0,81.0
164,A,98034,Kirkland,758000,3.0,3.0,2.5,1770,2021-05-27,0.031,1369.0,81.0
165,S,98003,Federal Way,361888,5.0,3.0,2.0,1344,2021-05-19,0.355,15478.0,63.0
166,A,98034,Kirkland,1050000,5.0,3.0,2.5,2420,2021-05-25,0.085,3713.0,81.0
167,S,98034,Kirkland,915000,4.0,3.0,2.5,1418,2021-05-20,0.165,7201.0,81.0
168,S,98034,Kirkland,920000,4.0,3.0,2.25,1650,2021-05-19,0.148,6460.0,81.0
169,S,98034,Kirkland,955000,8.0,3.0,2.5,2085,2021-05-18,0.166,7226.0,81.0
170,S,98034,Kirkland,990000,2.0,3.0,2.25,3170,2021-05-17,0.234,10180.0,81.0
171,S,98034,Kirkland,1016000,6.0,3.0,2.25,1730,2021-05-07,0.186,8100.0,81.0
172,S,98034,Kirkland,1060000,2.0,3.0,2.5,1940,2021-05-25,0.2,8706.0,81.0
173,S,98034,Kirkland,1255000,6.0,3.0,2.25,2180,2021-04-30,0.205,8948.0,81.0
174,S,98034,Kirkland,1337500,4.0,3.0,2.75,2590,2021-05-08,0.112,4875.0,81.0
175,S,98034,Kirkland,1400000,2.0,3.0,2.5,2410,2021-05-21,0.204,8868.0,81.0
176,S,98003,Federal Way,445000,5.0,3.0,1.75,1170,2021-05-17,0.211,9200.0,63.0
177,S,98034,Kirkland,1475000,3.0,3.0,2.5,2330,2021-05-28,0.092,4000.0,81.0
178,S,98034,Kirkland,1620000,0.0,3.0,2.75,2644,2021-05-28,0.111,4817.0,81.0
179,A,98034,Kirkland,835000,3.0,4.0,2.75,1910,2021-05-27,0.167,7272.0,81.0
180,A,98034,Kirkland,849900,2.0,4.0,2.25,1820,2021-05-28,0.167,7272.0,81.0
181,A,98034,Kirkland,1806450,16.0,4.0,2.5,3349,2021-05-14,0.239,10404.0,81.0
182,A,98034,Kirkland,1875000,16.0,4.0,3.0,3770,2021-05-14,0.202,8800.0,81.0
183,S,98034,Kirkland,920000,3.0,4.0,2.5,1990,2021-05-07,0.169,7350.0,81.0
184,S,98034,Kirkland,950000,2.0,4.0,2.5,1680,2021-05-11,0.21,9165.0,81.0
185,S,98034,Kirkland,958000,6.0,4.0,2.5,1890,2021-05-12,0.16,6984.0,81.0
186,S,98034,Kirkland,1060000,6.0,4.0,2.5,2010,2021-05-03,0.061,2660.0,81.0
187,S,98003,Federal Way,480000,4.0,3.0,2.0,1720,2021-05-07,0.227,9900.0,63.0
188,S,98034,Kirkland,1100000,5.0,4.0,2.5,1870,2021-05-03,0.212,9253.0,81.0
189,S,98034,Kirkland,1175000,4.0,4.0,2.5,2740,2021-05-26,0.191,8322.0,81.0
190,S,98034,Kirkland,1180000,1.0,4.0,2.5,2110,2021-05-18,0.16,6950.0,81.0
191,S,98034,Kirkland,1185000,5.0,4.0,2.25,1983,2021-05-26,0.3,13050.0,81.0
192,S,98034,Kirkland,1300000,1.0,4.0,2.5,2000,2021-05-19,0.157,6847.0,81.0
193,S,98034,Kirkland,1325000,6.0,4.0,2.25,2560,2021-05-28,0.187,8165.0,81.0
194,S,98034,Kirkland,1660000,2.0,4.0,2.75,3040,2021-05-11,0.108,4704.0,81.0
195,S,98034,Kirkland,3500000,5.0,4.0,2.5,3180,2021-05-26,0.822,35790.0,81.0
196,A,98034,Kirkland,899000,12.0,5.0,2.5,2270,2021-05-25,0.289,12600.0,81.0
197,A,98034,Kirkland,899950,15.0,5.0,2.5,3720,2021-05-15,0.293,12763.0,81.0
198,S,98003,Federal Way,530000,5.0,3.0,2.0,1660,2021-05-21,0.28,12180.0,63.0
199,A,98034,Kirkland,949000,3.0,5.0,2.75,2240,2021-05-27,0.169,7380.0,81.0
200,A,98034,Kirkland,1385000,195.0,5.0,2.5,2170,2020-11-16,0.39,16968.0,81.0
201,S,98034,Kirkland,975000,8.0,5.0,2.25,2820,2021-05-24,0.169,7371.0,81.0
202,S,98034,Kirkland,1110000,3.0,5.0,2.5,3975,2021-05-27,0.269,11739.0,81.0
203,S,98034,Kirkland,1170000,3.0,5.0,2.5,2090,2021-05-07,0.238,10346.0,81.0
204,S,98034,Kirkland,1210000,6.0,5.0,2.75,2308,2021-05-18,0.157,6825.0,81.0
205,S,98034,Kirkland,1689995,16.0,5.0,2.75,3293,2021-05-28,0.32,13938.0,81.0
206,S,98034,Kirkland,1053500,4.0,6.0,2.75,3300,2021-04-30,0.172,7500.0,81.0
207,S,98034,Kirkland,1450000,2.0,3.0,3.0,3420,2021-05-10,0.275,11990.0,81.0
208,A,98034,Kirkland,1914450,16.0,4.0,3.5,3863,2021-05-14,0.26,11322.0,81.0
209,S,98003,Federal Way,510000,4.0,4.0,1.75,1570,2021-05-28,0.224,9750.0,63.0
210,S,98034,Kirkland,1075000,4.0,4.0,3.25,1958,2021-05-06,0.244,10648.0,81.0
211,S,98034,Kirkland,1910000,4.0,4.0,3.5,3654,2021-05-12,0.151,6568.0,81.0
212,A,98034,Kirkland,1190000,36.0,5.0,3.5,3284,2021-04-30,0.157,6860.0,81.0
213,A,98034,Kirkland,2980000,2.0,5.0,3.5,4090,2021-05-28,6.68,290980.0,81.0
214,S,98034,Kirkland,1055000,6.0,5.0,3.25,3240,2021-05-18,0.21,9158.0,81.0
215,S,98034,Kirkland,1255000,5.0,5.0,3.75,2570,2021-05-20,0.195,8500.0,81.0
216,S,98034,Kirkland,1820000,2.0,5.0,3.25,3295,2021-05-14,0.174,7601.0,81.0
217,S,98034,Kirkland,1900000,2.0,5.0,3.5,3560,2021-05-28,0.138,6000.0,81.0
218,S,98034,Kirkland,1745000,1.0,5.0,4.5,3912,2021-05-10,0.252,10977.0,81.0
219,S,98034,Kirkland,2100000,2.0,5.0,4.25,4060,2021-05-05,0.127,5540.0,81.0
220,A,98003,Federal Way,565000,10.0,3.0,2.5,2020,2021-05-20,0.228,9936.0,63.0
221,S,98038,Maple Valley,475000,1.0,1.0,1.0,1000,2021-05-28,0.693,30193.0,84.0
222,S,98038,Maple Valley,388000,7.0,2.0,1.0,910,2021-05-07,0.069,3003.0,84.0
223,A,98038,Maple Valley,419950,3.0,3.0,1.0,1100,2021-05-27,0.22,9576.0,84.0
224,A,98038,Maple Valley,540000,7.0,3.0,1.0,1040,2021-05-28,0.187,8153.0,84.0
225,A,98038,Maple Valley,724999,17.0,3.0,1.0,1050,2021-05-13,0.9,39204.0,84.0
226,S,98038,Maple Valley,412500,7.0,3.0,1.0,1160,2021-05-21,2.03,88417.0,84.0
227,S,98038,Maple Valley,853000,6.0,3.0,1.75,2700,2021-05-24,5.6,243936.0,84.0
228,A,98038,Maple Valley,585000,4.0,1.0,1.5,722,2021-05-26,0.081,3521.0,84.0
229,A,98038,Maple Valley,360000,10.0,2.0,2.0,1196,2021-05-20,0.385,16768.0,84.0
230,A,98038,Maple Valley,375000,4.0,2.0,1.5,1240,2021-05-26,0.097,4209.0,84.0
231,A,98003,Federal Way,579500,12.0,3.0,2.5,1780,2021-05-18,0.143,6208.0,63.0
232,A,98038,Maple Valley,750000,3.0,2.0,2.0,2860,2021-05-27,5.03,219106.0,84.0
233,S,98038,Maple Valley,572316,16.0,2.0,2.0,1342,2021-05-07,0.09,3903.0,84.0
234,A,98038,Maple Valley,460000,4.0,3.0,2.0,1536,2021-05-30,0.035,1536.0,84.0
235,A,98038,Maple Valley,499950,1.0,3.0,2.0,1060,2021-05-29,0.165,7185.0,84.0
236,A,98038,Maple Valley,500000,32.0,3.0,2.0,3210,2020-07-09,2.03,88426.0,84.0
237,A,98038,Maple Valley,699000,3.0,3.0,2.0,2043,2021-05-27,4.8,209088.0,84.0
238,S,98038,Maple Valley,380000,61.0,3.0,1.75,1030,2021-05-13,0.256,11155.0,84.0
239,S,98038,Maple Valley,435000,7.0,3.0,2.0,1040,2021-05-29,0.222,9653.0,84.0
240,S,98038,Maple Valley,510000,5.0,3.0,1.75,1410,2021-05-18,0.165,7176.0,84.0
241,S,98038,Maple Valley,569000,4.0,3.0,1.75,1380,2021-05-20,0.166,7245.0,84.0
242,S,98003,Federal Way,520000,6.0,3.0,2.25,1630,2021-05-04,0.205,8927.0,63.0
243,A,98038,Maple Valley,725000,16.0,4.0,1.75,2106,2021-05-14,1.033,44999.0,84.0
244,S,98038,Maple Valley,570000,0.0,4.0,1.75,1710,2021-05-07,0.207,8999.0,84.0
245,S,98038,Maple Valley,450000,5.0,2.0,2.5,1360,2021-05-16,0.076,3300.0,84.0
246,A,98038,Maple Valley,429950,3.0,3.0,2.5,1800,2021-05-27,0.051,2227.0,84.0
247,A,98038,Maple Valley,515000,6.0,3.0,2.5,1520,2021-05-24,0.092,4015.0,84.0
248,A,98038,Maple Valley,574950,4.0,3.0,2.25,1520,2021-05-26,0.154,6715.0,84.0
249,A,98038,Maple Valley,579950,9.0,3.0,2.5,1610,2021-05-21,0.083,3600.0,84.0
250,A,98038,Maple Valley,600000,3.0,3.0,2.5,1640,2021-05-27,0.237,10326.0,84.0
251,A,98038,Maple Valley,600000,3.0,3.0,2.5,1906,2021-05-27,0.158,6863.0,84.0
252,A,98038,Maple Valley,799900,2.0,3.0,2.25,2290,2021-05-28,0.708,30840.0,84.0
253,S,98003,Federal Way,667500,7.0,3.0,2.5,2090,2021-05-20,0.233,10164.0,63.0
254,A,98038,Maple Valley,849900,10.0,3.0,2.5,1536,2021-05-20,0.837,36470.0,84.0
255,A,98038,Maple Valley,1150000,36.0,3.0,2.5,3250,2021-05-26,4.82,209959.0,84.0
256,A,98038,Maple Valley,1579000,2.0,3.0,2.25,1920,2021-05-28,4.011,174712.0,84.0
257,S,98038,Maple Valley,530000,1.0,3.0,2.5,1600,2021-05-28,0.074,3245.0,84.0
258,S,98038,Maple Valley,530000,5.0,3.0,2.25,1520,2021-05-21,0.177,7698.0,84.0
259,S,98038,Maple Valley,550000,5.0,3.0,2.5,1680,2021-05-22,0.146,6340.0,84.0
260,S,98038,Maple Valley,550000,1.0,3.0,2.25,1450,2021-05-15,0.092,4000.0,84.0
261,S,98038,Maple Valley,570000,3.0,3.0,2.25,1580,2021-05-19,0.155,6747.0,84.0
262,S,98038,Maple Valley,579000,5.0,3.0,2.5,1440,2021-05-06,0.098,4267.0,84.0
263,S,98038,Maple Valley,595000,6.0,3.0,2.5,1670,2021-05-08,0.173,7532.0,84.0
264,A,98003,Federal Way,639950,4.0,4.0,2.25,2210,2021-05-26,0.236,10260.0,63.0
265,S,98038,Maple Valley,605000,4.0,3.0,2.5,1520,2021-05-05,0.083,3600.0,84.0
266,S,98038,Maple Valley,625000,10.0,3.0,2.5,2037,2021-05-13,0.092,4000.0,84.0
267,S,98038,Maple Valley,635000,4.0,3.0,2.5,1740,2021-05-10,0.102,4437.0,84.0
268,S,98038,Maple Valley,650000,2.0,3.0,2.5,1900,2021-05-24,0.211,9175.0,84.0
269,S,98038,Maple Valley,650500,6.0,3.0,2.5,1650,2021-05-12,0.202,8802.0,84.0
270,S,98038,Maple Valley,745000,6.0,3.0,2.5,2114,2021-05-19,0.338,14740.0,84.0
271,S,98038,Maple Valley,754000,7.0,3.0,2.5,2570,2021-05-13,1.72,74923.0,84.0
