#,MLS,Stat,Type,Address,ZipCode,City,City Code,State,List/Sell,Days on Market,Bds,Bths,SF,Start Date,Acres,Source,Lot Square Footage,Property Type,SchoolDistric,Livability Index,#,,,,Town,Livability Index
121,1730430,A,RESI,28922 239TH Ave SE #14,98038,Maple Valley,320,WA,"919,950",90,5,3.5,2989,03/28/2021  ,0.092,Permit,4000,Single Family,Tahoma,0,335,,,,,
121,1758689,A,RESI,29923 239th Ave SE #69,98038,Maple Valley,320,WA,"949,950",13,5,3.5,3060,05/23/2021  ,0.087,Permit,3800,Single Family,Tahoma,0,336,,,,,
121,1713473,S,RESI,28916 238TH Ave SE #43,98038,Maple Valley,320,WA,"714,950",0,5,3.5,2989,05/21/2021  ,0.094,Permit,4100,Single Family,Tahoma,0,337,,,,,
121,1742329,S,RESI,25912 210th Ave SE,98038,Maple Valley,320,WA,"920,000",5,5,3,3120,05/07/2021  ,0.349,Public Records,15200,Single Family,Tahoma,0,338,,,,,
121,1750680,S,RESI,24030 SE 258th Lane,98038,Maple Valley,320,WA,"1,100,000",12,5,3.5,3340,05/17/2021  ,0.135,Realist,5866,Single Family,Tahoma,0,339,,,,,
121,1714054,S,RESI,27832 219th Place SE #24,98038,Maple Valley,320,WA,"769,750",5,6,3.5,3110,05/07/2021  ,0.083,Builder Plans,3600,Single Family,Tahoma,0,340,,,,,
121,1724069,S,RESI,27726 219th Place SE #34,98038,Maple Valley,320,WA,"845,550",4,6,3.5,3110,05/28/2021  ,0.083,Builder Plans,3600,Single Family,Tahoma,0,341,,,,,
122,1747754,S,RESI,30232 20th Ave S,98003,Federal Way,110,WA,"695,000",6,6,2.5,3470,05/25/2021  ,0.288,Public Records,12558,Single Family,Federal Way,0,342,,,,,
122,1609697,S,RESI,23635 SE 248th Place,98038,Maple Valley,320,WA,"868,445",0,4,4.5,3899,05/06/2021  ,0.115,Recorded Plat Map,5000,Single Family,Tahoma,0,343,,,,,
122,1753057,S,RESI,20053 Renton Maple Valley Rd S,98038,Maple Valley,340,WA,"510,000",8,3,2,1424,05/19/2021  ,4.9,Realist,213444,Single Family,Tahoma,0,344,,,,,
122,1744105,S,RESI,20340 244th Ave SE,98038,Maple Valley,350,WA,"675,000",6,3,1.5,2600,05/07/2021  ,9.77,Realist,425581,Single Family,Tahoma,0,345,,,,,
122,1762478,A,RESI,18700 Byers Rd SE,98038,Maple Valley,350,WA,"4,200,000",85,4,2.5,4880,04/23/2021  ,10.000 ,County,435600,Single Family,Tahoma,0,346,,,,,
122,1739582,S,RESI,17008 234th Wy SE,98038,Maple Valley,350,WA,"1,595,000",7,5,4.5,5200,04/30/2021  ,5.47,KCR,238273,Single Family,Issaquah,0,347,,,,,
122,1766298,A,RESI,16808 240th Ave SE,98038,Maple Valley,500,WA,"1,199,800",4,4,2,3639,05/26/2021  ,5.05,tax records,219978,Single Family,Issaquah,0,348,,,,,
122,1763183,S,RESI,7657 NE 14th St,98039,Medina,520,WA,"2,837,500",4,3,0,2530,05/28/2021  ,0.456,KCR,19852,Single Family,Bellevue,85,349,,,,,
122,1780817,A,RESI,3261 Evergreen Point Rd,98039,Medina,520,WA,"10,000,000",5,5,0,8000,05/25/2021  ,0.531,Realist,23110,Single Family,Bellevue,85,350,,,,,
122,1724954,S,RESI,7914 NE 24th St,98039,Medina,520,WA,"1,902,000",65,3,1.75,1820,05/21/2021  ,0.208,King County Records,9064,Single Family,Bellevue,85,351,,,,,
122,1716562,A,RESI,2431 Evergreen Point Rd,98039,Medina,520,WA,"2,200,000",157,4,2.5,2390,05/27/2021  ,0.46,Public Records,20048,Single Family,Bellevue,85,352,,,,,
123,1749653,S,RESI,1924 S 308th St,98003,Federal Way,110,WA,"530,888",5,4,3.25,1570,05/21/2021  ,0.165,REALIST,7200,Single Family,Federal Way,0,353,,,,,
123,1771363,A,RESI,8160 NE 24th St,98039,Medina,520,WA,"2,499,950",16,4,2.5,2792,05/14/2021  ,0.201,Previous appraisal,8750,Single Family,Bellevue,85,354,,,,,
123,1762151,S,RESI,7863 NE 10th St,98039,Medina,520,WA,"2,300,000",6,5,2.25,2640,05/07/2021  ,0.343,KCR,14959,Single Family,Bellevue,85,355,,,,,
123,1772991,A,RESI,3261 Evergreen Point Rd,98039,Medina,520,WA,"6,988,000",18,3,3,3000,05/12/2021  ,0.531,Realist,23110,Single Family,Bellevue,85,356,,,,,
123,1719474,S,RESI,525 Overlake Dr E,98039,Medina,520,WA,"3,400,000",115,4,4.25,4862,05/20/2021  ,0.227,KCR,9900,Single Family,Bellevue,85,357,,,,,
123,1753492,A,RESI,3240 78th Place NE,98039,Medina,520,WA,"6,288,000",51,3,4.25,3930,04/09/2021  ,0.524,KCR,22822,Single Family,Bellevue,85,358,,,,,
123,1766462,A,RESI,2604 79th Ave NE,98039,Medina,520,WA,"5,398,000",19,4,4.75,4805,05/11/2021  ,0.247,Public Records,10755,Single Family,Bellevue,85,359,,,,,
123,1681602,A,RESI,10262021 RES Undisclosed,98039,Medina,520,WA,"22,500,000",216,4,6,7610,10/26/2020  ,0.661,tax records,28800,Single Family,Bellevue,85,360,,,,,
123,1744017,S,RESI,1564 77th Place NE,98039,Medina,520,WA,"7,300,000",1,5,5.25,6870,05/04/2021  ,0.456,KCR,19844,Single Family,Bellevue,85,361,,,,,
123,1747983,S,RESI,3239 Evergreen Point Rd,98039,Medina,520,WA,"10,350,000",25,5,6.75,6407,05/18/2021  ,0.912,KCR,39724,Single Family,Bellevue,85,362,,,,,
123,1731148,S,RESI,3239 Evergreen Pt Rd,98039,Medina,520,WA,"10,350,000",54,5,7,6407,05/18/2021  ,0.459,King County,20000,Single Family,Bellevue,85,363,,,,,
124,1744275,S,RESI,28504 29th Place S,98003,Federal Way,120,WA,"500,000",6,3,1.75,1760,05/02/2021  ,0.165,Realist--Buyer to Verify,7200,Single Family,Federal Way,0,364,,,,,
124,1744477,A,RESI,2213 Evergreen Point Rd,98039,Medina,520,WA,"18,800,000",67,7,6.75,7200,03/24/2021  ,2.01,Architecture plans,87542,Single Family,Bellevue,85,365,,,,,
124,1781493,A,RESI,3723 90th Ave SE,98040,Mercer Island,510,WA,"1,250,000",2,3,1.75,1580,05/28/2021  ,0.212,realist.com,9233,Single Family,Mercer Islan,85,366,,,,,
124,1759243,S,RESI,2718 62nd Ave SE,98040,Mercer Island,510,WA,"1,165,000",6,3,1.25,1380,05/28/2021  ,0.103,Public Records,4500,Single Family,Mercer Islan,85,367,,,,,
124,1777659,A,RESI,4332 W Mercer Wy,98040,Mercer Island,510,WA,"1,325,000",5,4,1.75,2700,05/25/2021  ,0.403,KCAR,17558,Single Family,Mercer Islan,85,368,,,,,
124,1739074,S,RESI,4769 Fernridge Lane,98040,Mercer Island,510,WA,"1,420,000",46,3,2.5,2391,05/17/2021  ,0.346,King County,15063,Single Family,Mercer Islan,85,369,,,,,
124,1761741,S,RESI,8465 SE 45th St,98040,Mercer Island,510,WA,"1,713,000",4,3,2.25,1850,05/26/2021  ,0.258,Realist,11250,Single Family,Mercer Islan,85,370,,,,,
124,1768096,A,RESI,4022 93rd Ave SE,98040,Mercer Island,510,WA,"1,710,000",25,4,2.75,2830,05/05/2021  ,0.188,King County Records,8184,Single Family,Mercer Islan,85,371,,,,,
124,1774045,A,RESI,4807 E Mercer Way,98040,Mercer Island,510,WA,"1,725,000",15,4,2.25,2990,05/15/2021  ,0.637,Realist,27728,Single Family,Mercer Islan,85,372,,,,,
124,1760650,A,RESI,8531 E Mercer Way,98040,Mercer Island,510,WA,"1,750,000",35,4,2.5,2570,05/14/2021  ,0.265,Realist - Buyer to Verify,11552,Single Family,Mercer Islan,85,373,,,,,
124,1738660,S,RESI,3401 79th Ave SE,98040,Mercer Island,510,WA,"1,482,400",5,4,2.75,2010,05/12/2021  ,0.177,Public Record,7694,Single Family,Mercer Islan,85,374,,,,,
125,1746630,S,RESI,27609 26th Ave S,98003,Federal Way,120,WA,"515,000",4,3,2.5,1520,05/03/2021  ,0.118,KCR,5130,Single Family,Federal Way,0,375,,,,,
125,1754419,S,RESI,8320 SE 62nd St,98040,Mercer Island,510,WA,"1,616,000",6,4,2.75,2350,05/18/2021  ,0.234,KCR,10204,Single Family,Mercer Islan,85,376,,,,,
125,1760449,S,RESI,7051 81st Ave SE,98040,Mercer Island,510,WA,"1,865,000",6,4,2.25,2500,05/14/2021  ,0.228,King County Assessor,9953,Single Family,Mercer Islan,85,377,,,,,
125,1757371,S,RESI,4244 Shoreclub Dr,98040,Mercer Island,510,WA,"2,160,000",6,4,2.75,2810,05/21/2021  ,0.258,KCR,11254,Single Family,Mercer Islan,85,378,,,,,
125,1755243,S,RESI,4313 W Mercer Wy,98040,Mercer Island,510,WA,"2,250,000",2,4,2.75,3760,05/23/2021  ,0.34,Realist,14800,Single Family,Mercer Islan,85,379,,,,,
125,1739270,S,RESI,2419 84th Ave SE,98040,Mercer Island,510,WA,"2,350,000",11,4,3,3250,05/05/2021  ,0.207,tax,9000,Single Family,Mercer Islan,85,380,,,,,
125,1757511,S,RESI,7387 85th Ave SE,98040,Mercer Island,510,WA,"1,710,500",5,5,2.5,2560,05/21/2021  ,0.248,Realist,10800,Single Family,Mercer Islan,85,381,,,,,
125,1698290,S,RESI,7875 85th Place SE,98040,Mercer Island,510,WA,"1,811,000",96,3,2.75,2880,05/07/2021  ,0.266,Realist - Buyer to verify,11602,Single Family,Mercer Islan,85,382,,,,,
125,1764187,A,RESI,6454 E Mercer Wy,98040,Mercer Island,510,WA,"4,900,000",33,4,3.25,2260,04/27/2021  ,0.472,king county,20557,Single Family,Mercer Islan,85,383,,,,,
125,1753267,A,RESI,7703 W Mercer Wy,98040,Mercer Island,510,WA,"5,998,000",5,4,3.25,4361,05/25/2021  ,0.43,Realist,18752,Single Family,Mercer Islan,85,384,,,,,
125,1774416,A,RESI,8320 Avalon Dr,98040,Mercer Island,510,WA,"6,250,000",13,4,3.25,5950,05/17/2021  ,0.401,Realist,17467,Single Family,Mercer Islan,85,385,,,,,
126,1761283,S,RESI,27808 20th Place S,98003,Federal Way,120,WA,"575,000",5,4,2.75,1990,05/25/2021  ,0.321,KCR,13984,Single Family,Federal Way,0,386,,,,,
126,1753684,S,RESI,2441 66th Ave SE,98040,Mercer Island,510,WA,"1,772,000",6,4,3.5,3030,05/07/2021  ,0.101,Public Records,4403,Single Family,Mercer Islan,85,387,,,,,
126,1754377,S,RESI,8427 SE 35th St,98040,Mercer Island,510,WA,"1,810,000",4,4,3.25,3100,05/20/2021  ,0.225,King County,9799,Single Family,Mercer Islan,85,388,,,,,
126,1746381,S,RESI,7000 80th Ave SE,98040,Mercer Island,510,WA,"1,835,000",6,4,3,2930,05/14/2021  ,0.302,Realist,13154,Single Family,Mercer Islan,85,389,,,,,
126,1719866,S,RESI,10 Brook Bay Rd,98040,Mercer Island,510,WA,"2,600,000",80,4,3.5,3613,05/20/2021  ,0.407,KCR,17725,Single Family,Mercer Islan,85,390,,,,,
126,1617165,S,RESI,3400 72nd Place SE,98040,Mercer Island,510,WA,"2,650,000",214,4,3,2964,05/03/2021  ,0.193,Floor Plan,8405,Single Family,Mercer Islan,85,391,,,,,
126,1750405,S,RESI,4714 81st Ave SE,98040,Mercer Island,510,WA,"3,255,000",5,4,3.25,4250,05/12/2021  ,0.413,KCR,18000,Single Family,Mercer Islan,85,392,,,,,
126,1781864,A,RESI,7011 78th Ave SE,98040,Mercer Island,510,WA,"2,800,000",3,5,3.25,5162,05/27/2021  ,0.37,KCR,16124,Single Family,Mercer Islan,85,393,,,,,
126,1744993,S,RESI,4341 Island Crest Wy,98040,Mercer Island,510,WA,"2,175,000",6,5,3.5,4230,05/18/2021  ,0.235,KCR,10247,Single Family,Mercer Islan,85,394,,,,,
126,1764386,S,RESI,7408 91st Ave SE,98040,Mercer Island,510,WA,"2,510,000",5,5,3,4520,05/19/2021  ,0.224,KCR,9738,Single Family,Mercer Islan,85,395,,,,,
126,1765834,S,RESI,4640 84th Ave SE,98040,Mercer Island,510,WA,"2,871,000",5,5,3.75,4060,05/23/2021  ,0.293,Re,12750,Single Family,Mercer Islan,85,396,,,,,
127,1731472,S,RESI,27904 21st Ave S,98003,Federal Way,120,WA,"625,000",5,4,2.25,2120,05/27/2021  ,0.243,Public Records,10589,Single Family,Federal Way,0,397,,,,,
127,1755899,S,RESI,8456 N Mercer Wy,98040,Mercer Island,510,WA,"3,160,000",5,5,3,3910,05/25/2021  ,0.387,kcr,16866,Single Family,Mercer Islan,85,398,,,,,
127,1752754,S,RESI,7835 SE 42nd St,98040,Mercer Island,510,WA,"3,500,000",2,5,3.25,5160,05/25/2021  ,0.258,Realist- Buyer to Verify,11258,Single Family,Mercer Islan,85,399,,,,,
127,1762411,S,RESI,5001 East Mercer Wy,98040,Mercer Island,510,WA,"2,600,000",6,4,4,4287,05/20/2021  ,0.596,Builder,25942,Single Family,Mercer Islan,85,400,,,,,
127,1756940,S,RESI,7805 SE 22nd Place,98040,Mercer Island,510,WA,"4,471,000",6,4,4.25,4910,05/02/2021  ,0.428,KCR,18638,Single Family,Mercer Islan,85,401,,,,,
127,1758602,S,RESI,7808 89th Place SE,98040,Mercer Island,510,WA,"2,070,000",5,5,3.5,3550,05/25/2021  ,0.404,Realist- Buyer to Verify,17613,Single Family,Mercer Islan,85,402,,,,,
127,1750977,S,RESI,8401 SE 34th Place,98040,Mercer Island,510,WA,"3,550,000",2,5,5.5,4336,05/04/2021  ,0.216,Realist,9397,Single Family,Mercer Islan,85,403,,,,,
127,1747651,S,RESI,2211 72nd Ave SE,98040,Mercer Island,510,WA,"3,650,000",9,5,4.75,4730,05/26/2021  ,0.213,KCAR,9293,Single Family,Mercer Islan,85,404,,,,,
127,1756549,S,RESI,9016 SE 61st St,98040,Mercer Island,510,WA,"3,820,000",0,5,5.5,4430,04/30/2021  ,0.258,Realist,11235,Single Family,Mercer Islan,85,405,,,,,
127,1760361,A,RESI,4301 Forest Ave SE,98040,Mercer Island,510,WA,"8,688,000",40,5,5.5,7270,04/20/2021  ,0.661,Public records,28800,Single Family,Mercer Islan,85,406,,,,,
127,1777619,A,RESI,4525 W Mercer Wy,98040,Mercer Island,510,WA,"5,275,000",10,5,6.25,5950,05/20/2021  ,0.647,Public records,28174,Single Family,Mercer Islan,85,407,,,,,
128,1718878,S,RESI,28102 15 Ave S #17,98003,Federal Way,120,WA,"654,995",5,5,2.75,2668,05/26/2021  ,0.121,site plan,5280,Single Family,Federal Way,0,408,,,,,
128,1528774,A,RESI,5330 Butterworth Rd,98040,Mercer Island,510,WA,"17,800,000",205,5,8.5,14940,10/09/2019  ,1.89,KCTAR,82328,Single Family,Mercer Islan,85,409,,,,,
128,1742283,S,RESI,30412 155th Place SE,98042,Kent,310,WA,"480,000",4,2,1.75,1230,04/30/2021  ,0.28,Realist,12201,Single Family,Auburn,0,410,,,,,
128,1780838,A,RESI,16218 SE 292nd St,98042,Kent,310,WA,"500,000",4,4,1.75,1740,05/26/2021  ,0.294,Realist,12800,Single Family,Kent,0,411,,,,,
128,1765495,S,RESI,29841 172 Ave SE,98042,Kent,310,WA,"858,000",5,4,3.5,3240,05/29/2021  ,1.93,Public Records,84070,Single Family,Kent,0,412,,,,,
128,1757739,S,RESI,30303 154th Ave SE,98042,Kent,310,WA,"1,150,000",5,8,4.5,5120,04/30/2021  ,2.347,Realist,102230,Single Family,Kent,0,413,,,,,
128,1725219,A,RESI,17018 SE Wax Rd,98042,Covington,320,WA,"958,320",129,0,0,1290,02/05/2021  ,0.8,county,34848,Single Family,Kent,0,414,,,,,
128,1747333,S,RESI,19625 SE 259th St,98042,Covington,320,WA,"390,000",3,2,1,840,05/06/2021  ,0.119,Realist,5200,Single Family,Kent,0,415,,,,,
128,1782579,A,RESI,19220 SE 268th St,98042,Covington,320,WA,"385,000",1,3,1,1040,05/29/2021  ,0.119,Title Co,5200,Single Family,Kent,0,416,,,,,
128,1762737,A,RESI,17655 SE 267th Place,98042,Covington,320,WA,"460,000",10,3,1,1200,05/26/2021  ,0.298,Public Records,12960,Single Family,Kent,0,417,,,,,
128,1756877,S,RESI,26463 186th Ct SE,98042,Covington,320,WA,"450,000",1,3,1,1000,05/17/2021  ,0.127,Realist,5525,Single Family,Kent,0,418,,,,,
129,1714194,S,RESI,1407 S 281 St #53,98003,Des Moines,120,WA,"713,410",4,5,2.75,3008,05/04/2021  ,0.121,site plan,5270,Single Family,Federal Way,0,419,,,,,
129,1780512,A,RESI,18259 SE 272nd St,98042,Kent,320,WA,"1,275,000",608,4,1,1100,05/25/2021  ,1.53,KCR,66646,Single Family,Kent,0,420,,,,,
129,1781567,A,RESI,19228 SE 260th Place,98042,Covington,320,WA,"400,000",3,3,2,1090,05/27/2021  ,0.194,Tax record,8448,Single Family,Kent,0,421,,,,,
129,1783098,A,RESI,26923 176th Place SE,98042,Covington,320,WA,"437,000",0,3,2,1310,05/30/2021  ,0.172,realquest,7488,Single Family,Kent,0,422,,,,,
129,1778522,A,RESI,25924 201st Ct SE,98042,Covington,320,WA,"494,950",3,3,2,1560,05/27/2021  ,0.261,Realist,11387,Single Family,Kent,0,423,,,,,
129,1764111,S,RESI,18866 SE 244th Place,98042,Covington,320,WA,"500,000",4,3,1.5,1200,05/27/2021  ,0.217,Tax Records,9466,Single Family,Kent,0,424,,,,,
129,1751193,S,RESI,17814 SE 282nd St,98042,Kent,320,WA,"610,000",5,3,2,1296,05/07/2021  ,2.41,Tax records,104979,Single Family,Kent,0,425,,,,,
129,1774953,A,RESI,26312 184th Place SE,98042,Covington,320,WA,"445,000",3,4,1.75,1730,05/27/2021  ,0.156,Realist,6804,Single Family,Kent,0,426,,,,,
129,1763419,S,RESI,27609 195th Ave SE,98042,Kent,320,WA,"752,000",4,2,2.5,2370,05/21/2021  ,0.819,Public Records,35686,Single Family,Kent,0,427,,,,,
129,1782896,A,RESI,26803 196th Ave SE,98042,Covington,320,WA,"480,000",2,3,2.25,1408,05/28/2021  ,0.088,Realist,3825,Single Family,Kent,0,428,,,,,
129,1762078,A,RESI,31008 W Lake Morton Dr SE,98042,Kent,320,WA,"999,950",37,3,2.5,3100,04/23/2021  ,0.369,KCR,16083,Single Family,Kent,0,429,,,,,
130,1736556,A,RESI,1310 Bellevue Wy SE,98004,Bellevue,520,WA,"1,690,000",85,3,1,1200,05/03/2021  ,0.26,Realist,11347,Single Family,Bellevue,83,430,,,,,
130,1764130,S,RESI,21510 SE 299th Wy,98042,Kent,320,WA,"545,000",4,3,2.5,1870,05/28/2021  ,0.115,Realist,5000,Single Family,Kent,0,431,,,,,
130,1755030,S,RESI,20919 SE 271st St,98042,Covington,320,WA,"601,000",8,3,2.25,1920,05/19/2021  ,1.04,public records,45302,Single Family,Kent,0,432,,,,,
130,1758054,S,RESI,27023 210th Ave SE,98042,Covington,320,WA,"690,000",5,3,2.25,2050,05/19/2021  ,0.351,Public Records,15300,Single Family,Kent,0,433,,,,,
130,1753712,S,RESI,20030 SE 302nd Ct,98042,Kent,320,WA,"775,000",6,3,2.5,2500,05/11/2021  ,0.686,King County Records,29901,Single Family,Kent,0,434,,,,,
130,1781790,A,RESI,28835 210th Ave SE,98042,Kent,320,WA,"649,950",2,4,2.25,2050,05/28/2021  ,0.597,Realist,26000,Single Family,Kent,0,435,,,,,
130,1779892,A,RESI,19315 SE 284th St,98042,Kent,320,WA,"650,000",4,4,2.25,2550,05/26/2021  ,1.398,Public Records,60897,Single Family,Kent,0,436,,,,,
130,1779838,A,RESI,19030 SE 320th St,98042,Kent,320,WA,"675,000",3,4,2.75,2190,05/27/2021  ,0.93,Realist,40500,Single Family,Kent,0,437,,,,,
130,1729880,A,RESI,26402 SE 264th (Lot 19) St,98042,Covington,320,WA,"774,950",86,4,2.5,3041,05/05/2021  ,0.115,Recorded plat map,5025,Single Family,Kent,0,438,,,,,
130,1736104,S,RESI,29070 215th Place SE,98042,Kent,320,WA,"550,000",1,4,2.5,2390,05/28/2021  ,0.091,kcr,3982,Single Family,Kent,0,439,,,,,
130,1755087,S,RESI,29088 215th Place SE,98042,Kent,320,WA,"555,000",5,4,2.5,2150,05/21/2021  ,0.087,Realist- Buyer to Verify,3806,Single Family,Kent,0,440,,,,,
131,1766247,S,RESI,1655 112th Ave NE,98004,Bellevue,520,WA,"1,388,000",5,2,1.75,1420,05/28/2021  ,0.232,Realist,10102,Single Family,Bellevue,83,441,,,,,
131,1753304,S,RESI,26911 176th Place SE,98042,Covington,320,WA,"565,000",1,4,2.5,1680,05/11/2021  ,0.15,Public Records,6528,Single Family,Kent,0,442,,,,,
131,1748337,S,RESI,29775 218th Place SE,98042,Kent,320,WA,"575,000",4,4,2.5,2180,05/02/2021  ,0.128,Realist,5565,Single Family,Kent,0,443,,,,,
131,1743982,S,RESI,26229 197th Place SE,98042,Covington,320,WA,"575,000",5,4,2.5,1560,05/05/2021  ,0.215,Tax Records,9382,Single Family,Kent,0,444,,,,,
131,1750444,S,RESI,21329 SE 297th St,98042,Kent,320,WA,"625,000",1,4,2.25,2900,05/04/2021  ,0.178,Tax Records,7757,Single Family,Kent,0,445,,,,,
131,1729858,S,RESI,26308 201st (Lot 77) Place SE,98042,Covington,320,WA,"734,950",0,4,2.5,2501,04/30/2021  ,0.103,Recorded plat map,4500,Single Family,Kent,0,446,,,,,
131,1751702,S,RESI,28735 202nd Ave SE,98042,Kent,320,WA,"739,000",13,4,2.5,1830,05/23/2021  ,0.805,KCR,35048,Single Family,Kent,0,447,,,,,
131,1747175,S,RESI,31000 186th Place SE,98042,Covington,320,WA,"825,000",8,4,2.5,2028,04/30/2021  ,6.319,Tax Records,275264,Single Family,Auburn,0,448,,,,,
131,1765925,S,RESI,28315 190th Ave SE,98042,Kent,320,WA,"960,000",6,4,2.5,3520,05/21/2021  ,0.967,public records,42103,Single Family,Kent,0,449,,,,,
131,1781125,A,RESI,20738 SE 293rd St,98042,Kent,320,WA,"900,000",3,5,2.5,2500,05/27/2021  ,0.656,Realist,28581,Single Family,Kent,0,450,,,,,
131,1729860,S,RESI,20216 SE 264th (Lot 76) St,98042,Covington,320,WA,"769,950",0,5,2.75,2825,05/07/2021  ,0.103,Recorded plat map,4500,Single Family,Kent,0,451,,,,,
132,1770376,A,RESI,2127 109th Ave SE,98004,Bellevue,520,WA,"1,533,000",59,3,2,2507,05/07/2021  ,0.175,public,7634,Single Family,Bellevue,83,452,,,,,
132,1738640,S,RESI,26400 203rd (Lot 26) Ave SE,98042,Covington,320,WA,"779,950",0,5,2.75,2825,05/26/2021  ,0.163,Recorded plat map,7118,Single Family,Kent,0,453,,,,,
132,1720284,S,RESI,25738 SE 259th (Lot 230) Place,98042,Covington,320,WA,"784,950",0,5,3,3081,05/07/2021  ,0.147,Recorded plat map,6385,Single Family,Kent,0,454,,,,,
132,1732857,S,RESI,20220 SE 264th (Lot 75) St,98042,Covington,320,WA,"799,950",16,5,2.75,2825,05/26/2021  ,0.103,Recorded plat map,4500,Single Family,Kent,0,455,,,,,
132,1720703,S,RESI,26411 202nd (Lot 15) Ct SE,98042,Covington,320,WA,"667,950",0,4,3,2484,05/26/2021  ,0.099,Recorded plat map,4319,Single Family,Kent,0,456,,,,,
132,1753842,S,RESI,26333 203rd Ave SE,98042,Covington,320,WA,"800,000",5,4,3.5,3395,05/22/2021  ,0.103,Realist,4489,Single Family,Kent,0,457,,,,,
132,1714297,S,RESI,19717 SE 320th St SE,98042,Kent,320,WA,"1,145,000",82,4,3.5,4200,05/05/2021  ,5.087,Realist,221597,Single Family,Kent,0,458,,,,,
132,1729853,S,RESI,20115 SE 264th (Lot 12) St,98042,Covington,320,WA,"775,000",0,5,3.5,3222,05/11/2021  ,0.106,Recorded plat map,4600,Single Family,Kent,0,459,,,,,
132,1748782,S,RESI,21022 SE 268th Ct,98042,Covington,320,WA,"1,550,000",3,4,4.25,5450,05/14/2021  ,0.302,Tax Records,13158,Single Family,Kent,0,460,,,,,
132,1753171,S,RESI,13807 SE 282nd St,98042,Kent,330,WA,"465,000",3,2,1,1100,05/26/2021  ,1.25,Realist,54450,Single Family,Kent,0,461,,,,,
132,1753096,A,RESI,26841 167th Place SE,98042,Covington,330,WA,"340,000",52,3,1,980,04/08/2021  ,0.26,KCR,11325,Single Family,Kent,0,462,,,,,
133,1758638,S,RESI,10816 SE 21st St,98004,Bellevue,520,WA,"1,650,000",4,3,1.75,2297,05/25/2021  ,0.139,realist,6060,Single Family,Bellevue,83,463,,,,,
133,1773975,A,RESI,17655 SE 267th Place,98042,Covington,330,WA,"460,000",10,3,1,1200,05/26/2021  ,0.298,Public Records,12960,Single Family,Kent,0,464,,,,,
133,1759354,S,RESI,18856 SE 240th St,98042,Covington,330,WA,"490,000",5,3,1,1000,05/28/2021  ,0.771,Public Records,33600,Single Family,Tahoma,0,465,,,,,
133,1745496,S,RESI,16606 SE 240th St,98042,Kent,330,WA,"500,000",8,3,1,1350,05/21/2021  ,0.58,KCR,25264,Single Family,Kent,0,466,,,,,
133,1756824,S,RESI,26823 165th Place SE,98042,Covington,330,WA,"530,000",3,3,1,1340,05/29/2021  ,0.235,Public,10220,Single Family,Kent,0,467,,,,,
133,1781491,A,RESI,26502 134th Ave SE,98042,Kent,330,WA,"469,999",3,3,1.5,1420,05/27/2021  ,0.378,Realist,16480,Single Family,Kent,0,468,,,,,
133,1730692,A,RESI,14221 SE 260th St,98042,Kent,330,WA,"749,990",104,3,1.5,1520,02/15/2021  ,0.924,Realist,40260,Single Family,Kent,0,469,,,,,
133,1756273,S,RESI,29358 215th Place SE,98042,Kent,330,WA,"405,000",7,3,2,1344,05/13/2021  ,0.355,Public Records,15458,Single Family,Kent,0,470,,,,,
133,1757840,S,RESI,26411 199th Place SE,98042,Covington,330,WA,"485,000",3,3,2,1350,05/16/2021  ,0.203,Realist,8844,Single Family,Kent,0,471,,,,,
133,1754256,S,RESI,26729 168th Place SE,98042,Covington,330,WA,"501,000",4,3,1.75,1200,05/11/2021  ,0.2,Realist,8720,Single Family,Kent,0,472,,,,,
133,1751107,S,RESI,24627 185th Place SE,98042,Covington,330,WA,"550,000",4,3,1.5,1600,05/04/2021  ,0.347,KCR,15108,Single Family,Kent,0,473,,,,,
134,1733678,S,RESI,9603 Lake Washington Blvd NE,98004,Bellevue,520,WA,"11,250,000",20,3,2,1340,05/03/2021  ,0.672,county records,29264,Single Family,Bellevue,83,474,,,,,
134,1751130,S,RESI,13239 SE 231st St,98042,Kent,330,WA,"610,000",3,3,1.75,1800,05/11/2021  ,0.452,Realist,19698,Single Family,Kent,0,475,,,,,
134,1740942,S,RESI,20415 SE 281st St,98042,Kent,330,WA,"624,999",19,3,1.25,1310,05/19/2021  ,2.43,Realist,105850,Single Family,Kent,0,476,,,,,
134,1753881,S,RESI,26440 156th Place SE,98042,Covington,330,WA,"687,500",3,3,1.75,1740,05/19/2021  ,0.505,Realist,21980,Single Family,Kent,0,477,,,,,
134,1753995,S,RESI,26723 156th Place SE,98042,Covington,330,WA,"645,000",6,4,1.5,2430,05/14/2021  ,0.42,Realist,18295,Single Family,Kent,0,478,,,,,
134,1757542,S,RESI,25826 168th Ave SE,98042,Covington,330,WA,"760,000",6,4,1.75,2210,05/12/2021  ,1.1,Realist,47930,Single Family,Kent,0,479,,,,,
134,1780504,A,RESI,25432 174th Ave SE #16,98042,Covington,330,WA,"742,950",5,3,2.25,2065,05/25/2021  ,0.117,Plat Map,5113,Single Family,Kent,0,480,,,,,
134,1769644,A,RESI,13458 SE 235th St,98042,Kent,330,WA,"1,050,000",23,3,2.5,2840,05/07/2021  ,1.13,public records,49222,Single Family,Kent,0,481,,,,,
134,1749647,S,RESI,28110 153rd SE,98042,Kent,330,WA,"528,000",23,3,2.5,1740,05/26/2021  ,0.174,County,7601,Single Family,Kent,0,482,,,,,
