#,MLS,Stat,Type,Address,ZipCode,City,City Code,State,List/Sell,Days on Market,Bds,Bths,SF,Start Date,Acres,Source,Lot Square Footage,Property Type,SchoolDistric,Livability Index,#,,,,Town,Livability Index
32,1749696,S,RESI,5721 S 296th Place,98001,Auburn,100,WA,"742,000",5,4,2.5,3090,05/05/2021  ,0.221,Realist Tax Records,9647,Single Family,Federal Way,0,32,,,,,
33,1747493,S,RESI,28317 54th Ave S,98001,Auburn,100,WA,"780,000",5,4,2.75,2750,05/04/2021  ,0.178,Public Record,7758,Single Family,Federal Way,0,33,,,,,
34,1750881,S,RESI,1423 U Ct NW,98001,Auburn,100,WA,"795,000",6,4,2.5,3262,05/05/2021  ,0.244,Realist,10614,Single Family,Auburn,0,34,,,,,
35,1768754,S,RESI,4903 S 283rd Place,98001,Auburn,100,WA,"807,000",1,4,2.75,2650,05/23/2021  ,0.208,Realist,9050,Single Family,Federal Way,0,35,,,,,
36,1753957,S,RESI,33019 47th Place S,98001,Federal Way,100,WA,"650,000",5,5,3,2336,05/13/2021  ,0.189,King County Assessor,8214,Single Family,Federal Way,0,36,,,,,
37,1762184,S,RESI,29842 65th Ave S,98001,Auburn,100,WA,"805,000",5,5,2.75,3108,05/27/2021  ,0.152,KCR,6624,Single Family,Federal Way,0,37,,,,,
38,1746705,S,RESI,5118 S 282nd Wy,98001,Auburn,100,WA,"855,000",2,5,3,,05/11/2021  ,0.187,Tax Records,8150,Single Family,Federal Way,0,38,,,,,
39,1779441,A,RESI,30144 57th Place S #64,98001,Auburn,100,WA,"782,940",8,4,3,3024,05/22/2021  ,0.121,Plot Plan,5250,Single Family,Federal Way,0,39,,,,,
40,1777811,A,RESI,29619 61st Ct S,98001,Auburn,100,WA,"1,150,000",10,4,3.5,2832,05/20/2021  ,0.223,Realist,9710,Single Family,Federal Way,0,40,,,,,
41,1737725,S,RESI,34171 56th Avenue South,98001,Auburn,100,WA,"700,000",8,4,3.25,2527,05/25/2021  ,0.138,Tax records,6030,Single Family,Federal Way,0,41,,,,,
42,1736167,S,RESI,5724 S 303rd Ct #69,98001,Auburn,100,WA,"739,172",0,4,3.25,3024,05/18/2021  ,0.135,Builder,5895,Single Family,Federal Way,0,42,,,,,
43,1773529,A,RESI,36202 57th Ave S,98001,Auburn,100,WA,"1,000,000",11,5,4,3109,05/19/2021  ,0.681,King county,29674,Single Family,Federal Way,0,43,,,,,
44,1779377,A,RESI,4324 S 284th St,98001,Auburn,100,WA,"975,000",2,4,4,4620,05/28/2021  ,0.85,Realist,37026,Single Family,Federal Way,0,44,,,,,
45,1736198,S,RESI,5651 S 302nd St #22,98001,Auburn,100,WA,"650,949",0,5,4.25,3024,05/11/2021  ,0.118,Builder,5130,Single Family,Federal Way,0,45,,,,,
46,1760080,A,RESI,31244 Military Rd S,98001,Auburn,100,WA,"2,450,000",40,6,5,8900,04/20/2021  ,6.09,Public Records,265280,Single Family,Federal Way,0,46,,,,,
47,1778760,A,RESI,33002 41st Wy S,98001,Federal Way,110,WA,"499,000",4,3,2.5,1580,05/26/2021  ,0.108,Realist,4716,Single Family,Federal Way,0,47,,,,,
48,1753010,S,RESI,101 4th Ave S,98001,Algona,310,WA,"280,000",12,2,0.75,820,04/30/2021  ,0.344,KCR,15000,Single Family,Auburn,0,48,,,,,
49,1731940,S,RESI,108 3 Ave S,98001,Algona,310,WA,"400,000",3,3,1,1010,05/11/2021  ,0.367,Realist,16000,Single Family,Auburn,0,49,,,,,
50,1747675,S,RESI,320 4th Ave N,98001,Algona,310,WA,"440,000",5,2,2,1430,05/11/2021  ,0.23,Realist - Buyer to Verify,10000,Single Family,Auburn,0,50,,,,,
51,1781885,A,RESI,405 Clay St,98001,Auburn,310,WA,"424,950",3,3,2,1620,05/27/2021  ,0.147,Realist- Buyer to Verify,6401,Single Family,Auburn,0,51,,,,,
52,1744612,S,RESI,206 11th Ave N,98001,Algona,310,WA,"360,000",8,3,2,1632,05/07/2021  ,0.138,Public Records,6030,Single Family,Auburn,0,52,,,,,
53,1765055,S,RESI,311 9th Ave N,98001,Algona,310,WA,"374,000",5,3,2,1120,05/29/2021  ,0.184,Realist,8000,Single Family,Auburn,0,53,,,,,
54,1742914,S,RESI,213 4th Ave N,98001,Algona,310,WA,"501,290",5,3,2,1466,05/02/2021  ,0.297,Realist,12956,Single Family,Auburn,0,54,,,,,
55,1751688,S,RESI,5523 S 300th,98001,Auburn,310,WA,"537,000",4,3,2,1410,05/17/2021  ,0.177,King County,7700,Single Family,Federal Way,0,55,,,,,
56,1755172,S,RESI,29010 S 45th Ave,98001,Auburn,310,WA,"475,000",5,4,1.75,1450,05/28/2021  ,0.166,Public Records,7245,Single Family,Federal Way,0,56,,,,,
57,1758203,S,RESI,29014 42nd Ave S,98001,Auburn,310,WA,"496,000",3,4,1.5,1250,05/24/2021  ,0.171,Realist,7455,Single Family,Auburn,0,57,,,,,
58,1755452,S,RESI,307 4th Ave N,98001,Algona,310,WA,"520,000",5,3,2.5,1670,05/20/2021  ,0.237,Realist,10330,Single Family,Auburn,0,58,,,,,
59,1762494,A,RESI,212 Junction Blvd,98001,Algona,310,WA,"529,950",7,4,3,1965,05/28/2021  ,0.103,Realist,4500,Single Family,Auburn,0,59,,,,,
60,1757397,S,RESI,706 5th St SE,98002,Auburn,310,WA,"520,000",223,0,0,2020,05/20/2021  ,0.248,KC,10815,Single Family,Auburn,0,60,,,,,
61,1758816,S,RESI,419 2nd St NE,98002,Auburn,310,WA,"300,000",3,2,1,620,05/21/2021  ,0.11,Public Records,4807,Single Family,Auburn,0,61,,,,,
62,1758892,S,RESI,327 K St NE,98002,Auburn,310,WA,"375,000",6,2,1,1020,05/24/2021  ,0.202,County,8791,Single Family,Auburn,0,62,,,,,
63,1749909,S,RESI,1102 31st St NE,98002,Auburn,310,WA,"375,000",5,2,1,900,04/30/2021  ,0.116,Realist- Buyer to Verify,5041,Single Family,Auburn,0,63,,,,,
64,1749125,S,RESI,114 8th St SE,98002,Auburn,310,WA,"420,000",6,2,1,1320,05/17/2021  ,0.13,County Assessor,5679,Single Family,Auburn,0,64,,,,,
65,1745607,S,RESI,622 6th St SE,98002,Auburn,310,WA,"425,000",9,3,1,900,04/30/2021  ,0.142,Public Records,6172,Single Family,Auburn,0,65,,,,,
66,1778831,A,RESI,402 F St SE,98002,Auburn,310,WA,"325,000",8,4,1,1420,05/22/2021  ,0.139,Tax Records,6039,Single Family,Auburn,0,66,,,,,
67,1780199,A,RESI,324 Park Ave,98002,Auburn,310,WA,"365,000",4,4,1,1880,05/26/2021  ,0.151,Tax Records/Realist,6589,Single Family,Auburn,0,67,,,,,
68,1733958,S,RESI,3215 M St SE,98002,Auburn,310,WA,"430,000",14,3,2,1400,05/05/2021  ,0.56,Realist,24378,Single Family,Auburn,0,68,,,,,
69,1752844,A,RESI,1208 E Main St,98002,Auburn,310,WA,"495,000",54,2,2,2424,04/06/2021  ,0.173,KCAR,7546,Single Family,Auburn,0,69,,,,,
70,1775335,A,RESI,29 J St SE,98002,Auburn,310,WA,"399,950",10,3,2,850,05/20/2021  ,0.039,Public Records,1679,Single Family,Auburn,0,70,,,,,
71,1782194,A,RESI,1317 E St SE,98002,Auburn,310,WA,"474,500",2,3,2,1430,05/28/2021  ,0.152,"KCR, buyer to verify",6607,Single Family,Auburn,0,71,,,,,
72,1750763,S,RESI,816 7th St SE,98002,Auburn,310,WA,"390,000",6,3,2,1456,05/08/2021  ,0.18,Realist,7828,Single Family,Auburn,0,72,,,,,
73,1761463,S,RESI,3010 M Dr NE,98002,Auburn,310,WA,"410,000",6,3,1.5,1280,05/28/2021  ,0.084,KCR,3640,Single Family,Auburn,0,73,,,,,
74,1737167,S,RESI,1828 4th Place SE,98002,Auburn,310,WA,"440,000",5,3,2,1188,05/05/2021  ,0.16,KCR,6984,Single Family,Auburn,0,74,,,,,
75,1753152,S,RESI,3402 V St SE,98002,Auburn,310,WA,"465,000",3,3,2,,05/10/2021  ,0.172,Public Records,7500,Single Family,Auburn,0,75,,,,,
76,1747124,S,RESI,2605 R St SE,98002,Auburn,310,WA,"485,000",3,3,1.75,1430,04/30/2021  ,0.695,Public Record,30273,Single Family,Auburn,0,76,,,,,
77,1758114,S,RESI,710 25th St SE,98002,Auburn,310,WA,"500,000",6,3,1.5,2160,05/17/2021  ,0.22,Public Records,9583,Single Family,Auburn,0,77,,,,,
78,1756266,S,RESI,1602 21st St NE,98002,Auburn,310,WA,"510,000",5,3,1.75,1110,05/21/2021  ,0.138,KC,6000,Single Family,Auburn,0,78,,,,,
79,1775245,A,RESI,2807 R Place SE,98002,Auburn,310,WA,"497,000",9,4,2,2332,05/21/2021  ,0.196,County,8550,Single Family,Auburn,0,79,,,,,
